Gender,Age,Annual Income (k$),Spending Score (1-100)
Female,54,79,34
Female,32,68,65
Male,48,15,28
Female,27,33,73
Female,70,15,4
Female,48,101,50
Female,70,56,35
Female,50,66,49
Female,31,51,19
Female,50,89,45
Male,51,83,21
Female,44,54,44
Male,47,105,41
Male,49,65,58
Male,24,22,51
Male,23,63,98
Male,27,74,37
Female,40,57,46
Female,35,49,100
Female,25,106,44
Female,49,29,74
Female,42,15,65
Male,41,103,100
Female,35,28,13
Male,33,53,10
Male,27,50,21
Female,51,92,54
Female,29,98,24
Female,41,26,1
Female,62,96,26
Female,34,95,59
Female,52,61,26
Male,46,85,79
Male,43,87,21
Male,44,53,50
Female,37,56,40
Female,39,76,55
Female,31,17,57
Female,39,51,91
Male,30,29,68
Female,52,97,39
Female,18,50,66
Female,45,67,69
Male,43,54,100
Female,42,53,46
Female,53,66,48
Female,34,41,84
Female,42,55,1
Female,18,55,44
Female,33,49,68
Female,50,70,77
Female,20,48,1
Female,41,102,15
Female,29,77,1
Male,37,25,72
Female,30,75,55
Female,21,42,86
Female,44,64,50
Female,38,41,100
Female,47,15,25
Female,49,59,40
Female,55,22,60
Female,40,71,31
Male,56,65,60
Female,25,44,47
Male,51,108,45
Male,45,28,46
Female,42,44,68
Female,45,31,41
Female,25,114,21
Male,22,96,51
Male,62,23,33
Female,36,38,24
Male,36,39,5
Male,23,46,74
Female,18,33,67
Male,37,44,86
Female,34,86,50
Male,38,111,78
Male,40,19,25
Male,70,33,1
Female,34,66,30
Female,60,19,44
Male,61,66,59
Female,49,74,83
Female,35,78,58
Male,19,74,100
Female,45,46,53
Female,53,55,52
Male,63,29,58
Female,25,72,59
Male,35,102,59
Male,25,72,18
Female,30,42,72
Male,48,86,100
Male,29,122,27
Female,27,66,49
Female,49,75,14
Male,45,78,69
Female,43,18,69
Female,29,49,11
Male,56,47,16
Female,39,82,1
Male,70,79,90
Male,41,57,28
Female,18,45,46
Male,18,16,40
Female,47,60,75
Female,57,35,67
Male,27,32,65
Female,68,84,29
Female,62,82,67
Female,41,47,74
Female,46,19,67
Male,51,38,16
Female,65,86,21
Female,48,72,95
Female,41,48,100
Male,48,62,48
Male,46,15,48
Male,51,15,54
Male,18,112,65
Female,43,73,12
Female,45,60,56
Female,37,50,23
Female,49,15,49
Male,65,86,27
Female,40,30,33
Male,48,79,54
Female,61,64,34
Male,41,59,21
Male,26,26,87
Female,47,26,22
Male,18,70,1
Female,18,62,64
Male,43,61,42
Male,18,68,49
Female,20,15,54
Female,33,87,83
Male,28,51,98
Female,36,91,56
Male,54,15,19
Female,42,75,53
Female,27,75,65
Female,57,21,76
Male,18,43,53
Male,41,32,35
Male,18,83,26
Female,42,68,47
Male,34,102,11
Female,53,65,60
Female,48,79,54
Female,30,91,54
Female,27,75,68
Male,34,50,87
Female,65,45,48
Female,61,58,52
Female,25,81,40
Male,50,40,64
Female,18,77,50
Female,32,69,80
Female,25,27,79
Male,53,76,58
Female,20,64,48
Male,44,46,43
Female,38,63,62
Female,36,47,62
Female,62,67,43
Female,63,56,57
Female,36,20,30
Male,34,56,61
Female,18,48,32
Male,38,77,70
Female,66,83,42
Female,37,47,93
Female,49,39,51
Female,19,16,56
Female,32,39,14
Female,45,52,86
Male,40,25,49
Female,50,84,95
Male,30,67,51
Female,18,57,44
Female,54,60,36
Male,25,68,66
Female,45,77,63
Female,45,81,15
Male,18,52,35
Male,53,56,68
Male,30,65,33
Male,39,55,29
Female,33,83,55
Female,61,92,52
Female,57,69,38
Male,18,36,95
Male,70,73,46
Female,29,70,17
Female,68,34,8
Female,35,70,76
Female,34,46,21
Female,35,80,50
Female,33,73,27
Female,70,66,47
Female,37,61,59
Female,34,15,14
Male,39,28,38
Male,25,57,32
Male,61,100,25
Male,18,75,40
Male,30,108,34
Male,51,62,72
Female,39,59,31
Female,46,97,61
Female,60,56,60
Male,52,34,11
Male,40,68,37
Female,68,90,47
Female,30,38,57
Male,37,76,44
Female,38,58,77
Female,37,72,52
Female,23,68,61
Male,18,49,34
Male,44,57,62
Female,30,51,100
Female,65,63,63
Male,37,38,78
Female,35,44,42
Male,54,49,74
Female,44,70,76
Female,36,23,56
Male,29,57,48
Female,70,41,11
Male,43,49,49
Male,53,43,64
Female,24,65,30
Male,30,56,17
Male,68,79,52
Female,58,71,56
Female,45,20,15
Male,33,35,51
Female,35,56,57
Male,29,59,84
Female,22,37,37
Female,51,94,100
Male,46,83,51
Female,49,17,19
Female,34,69,41
Female,42,59,21
Male,32,93,45
Female,28,19,62
Female,62,114,57
Male,40,38,21
Female,45,70,17
Female,50,44,61
Female,40,50,66
Female,42,16,37
Female,23,91,1
Male,26,53,20
Male,25,55,75
Male,47,121,31
Male,39,85,41
Female,26,43,64
Female,46,44,42
Female,46,67,86
Female,29,80,40
Female,38,106,27
Male,46,18,80
Male,26,79,51
Female,46,83,22
Male,43,39,62
Female,24,51,42
Female,41,17,20
Female,43,47,52
Female,30,66,46
Male,31,102,6
Female,24,104,22
Female,32,33,98
Male,38,98,52
Female,31,15,84
Male,18,45,58
Female,29,52,82
Female,33,67,64
Female,50,63,25
Female,47,70,65
Male,50,55,25
Female,28,85,74
Female,40,78,55
Male,18,52,50
Male,44,82,38
Male,47,114,70
Male,33,42,46
Male,42,104,1
Male,18,45,5
Female,27,97,17
Female,49,46,70
Male,45,80,72
Female,33,65,58
Male,50,15,58
Female,40,110,87
Female,31,37,59
Female,36,27,66
Female,32,43,49
Female,22,127,38
Male,56,27,42
Male,30,65,100
Male,27,31,22
Male,18,35,58
Male,18,18,11
Female,48,68,34
Female,49,56,70
Female,55,30,3
Male,36,83,73
Male,34,86,100
Male,31,71,59
Male,33,91,82
Female,54,51,56
Female,38,69,68
Female,44,51,61
Male,32,20,37
Female,57,66,34
Female,18,64,80
Female,21,59,49
Female,44,70,46
Female,63,97,46
Female,35,55,58
